case_id,method,task_id,chiplet_id,stack_id,task_type,phase_index,phase_name,start_s,end_s,duration_s,needs_tap,needs_fpp_lanes,needs_bist_engine,power_w
p22810_5_5d_multi_tower,greedy,die_3_MBIST,die_3,stack_1,MBIST,0,CONFIG,0.000000000,0.000001280,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_3_MBIST,die_3,stack_1,MBIST,1,EXECUTE,0.000001280,0.052161280,0.052160000,False,0,True,0.720000000
p22810_5_5d_multi_tower,greedy,die_3_MBIST,die_3,stack_1,MBIST,2,READOUT,0.052161280,0.052163840,0.000002560,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_2_MBIST,die_2,stack_1,MBIST,0,CONFIG,0.000001280,0.000002560,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_2_MBIST,die_2,stack_1,MBIST,1,EXECUTE,0.000002560,0.052642560,0.052640000,False,0,True,0.720000000
p22810_5_5d_multi_tower,greedy,die_2_MBIST,die_2,stack_1,MBIST,2,READOUT,0.052642560,0.052645120,0.000002560,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_1_MBIST,die_1,stack_0,MBIST,0,CONFIG,0.000002560,0.000003840,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_1_MBIST,die_1,stack_0,MBIST,1,EXECUTE,0.000003840,0.062163840,0.062160000,False,0,True,0.720000000
p22810_5_5d_multi_tower,greedy,die_1_MBIST,die_1,stack_0,MBIST,2,READOUT,0.062163840,0.062166400,0.000002560,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_0_MBIST,die_0,stack_0,MBIST,0,CONFIG,0.000003840,0.000005120,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_0_MBIST,die_0,stack_0,MBIST,1,EXECUTE,0.000005120,0.246485120,0.246480000,False,0,True,0.720000000
p22810_5_5d_multi_tower,greedy,die_0_MBIST,die_0,stack_0,MBIST,2,READOUT,0.246485120,0.246487680,0.000002560,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_2_die_3_EXTEST,die_2,stack_1,EXTEST,0,CONFIG,0.052645120,0.052646400,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_2_die_3_EXTEST,die_2,stack_1,EXTEST,1,SHIFT_IN,0.052646400,0.052667200,0.000020800,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_2_die_3_EXTEST,die_2,stack_1,EXTEST,2,SHIFT_OUT,0.052667200,0.052688000,0.000020800,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_1_die_3_EXTEST,die_1,stack_0,EXTEST,0,CONFIG,0.062166400,0.062167680,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_1_die_3_EXTEST,die_1,stack_0,EXTEST,1,SHIFT_IN,0.062167680,0.062188480,0.000020800,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_1_die_3_EXTEST,die_1,stack_0,EXTEST,2,SHIFT_OUT,0.062188480,0.062209280,0.000020800,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_3_die_5_EXTEST,die_3,stack_1,EXTEST,0,CONFIG,0.052163840,0.052165120,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_3_die_5_EXTEST,die_3,stack_1,EXTEST,1,SHIFT_IN,0.052165120,0.052185920,0.000020800,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_3_die_5_EXTEST,die_3,stack_1,EXTEST,2,SHIFT_OUT,0.052185920,0.052206720,0.000020800,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_1_die_5_EXTEST,die_1,stack_0,EXTEST,0,CONFIG,0.062209280,0.062210560,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_1_die_5_EXTEST,die_1,stack_0,EXTEST,1,SHIFT_IN,0.062210560,0.062236160,0.000025600,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_1_die_5_EXTEST,die_1,stack_0,EXTEST,2,SHIFT_OUT,0.062236160,0.062261760,0.000025600,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_4_die_5_EXTEST,die_4,stack_2,EXTEST,0,CONFIG,0.000005120,0.000006400,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_4_die_5_EXTEST,die_4,stack_2,EXTEST,1,SHIFT_IN,0.000006400,0.000052800,0.000046400,False,4,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_4_die_5_EXTEST,die_4,stack_2,EXTEST,2,SHIFT_OUT,0.000052800,0.000099200,0.000046400,False,4,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_2_die_4_EXTEST,die_2,stack_1,EXTEST,0,CONFIG,0.052688000,0.052689280,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_2_die_4_EXTEST,die_2,stack_1,EXTEST,1,SHIFT_IN,0.052689280,0.052748480,0.000059200,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_2_die_4_EXTEST,die_2,stack_1,EXTEST,2,SHIFT_OUT,0.052748480,0.052807680,0.000059200,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_4_INTEST,die_4,stack_2,INTEST,0,CONFIG,0.000099200,0.000100480,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_4_INTEST,die_4,stack_2,INTEST,1,SHIFT_IN,0.000100480,0.000242320,0.000141840,False,4,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_4_INTEST,die_4,stack_2,INTEST,2,SHIFT_OUT,0.000242320,0.000384160,0.000141840,False,4,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_0_die_1_EXTEST,die_0,stack_0,EXTEST,0,CONFIG,0.246487680,0.246488960,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_0_die_1_EXTEST,die_0,stack_0,EXTEST,1,SHIFT_IN,0.246488960,0.246693760,0.000204800,True,0,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_0_die_1_EXTEST,die_0,stack_0,EXTEST,2,SHIFT_OUT,0.246693760,0.246898560,0.000204800,True,0,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_0_die_2_EXTEST,die_0,stack_0,EXTEST,0,CONFIG,0.246898560,0.246899840,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_0_die_2_EXTEST,die_0,stack_0,EXTEST,1,SHIFT_IN,0.246899840,0.247155840,0.000256000,True,0,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_0_die_2_EXTEST,die_0,stack_0,EXTEST,2,SHIFT_OUT,0.247155840,0.247411840,0.000256000,True,0,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_0_die_4_EXTEST,die_0,stack_0,EXTEST,0,CONFIG,0.247411840,0.247413120,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_0_die_4_EXTEST,die_0,stack_0,EXTEST,1,SHIFT_IN,0.247413120,0.247669120,0.000256000,True,0,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_0_die_4_EXTEST,die_0,stack_0,EXTEST,2,SHIFT_OUT,0.247669120,0.247925120,0.000256000,True,0,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_3_INTEST,die_3,stack_1,INTEST,0,CONFIG,0.052206720,0.052208000,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_3_INTEST,die_3,stack_1,INTEST,1,SHIFT_IN,0.052208000,0.052748800,0.000540800,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_3_INTEST,die_3,stack_1,INTEST,2,SHIFT_OUT,0.052748800,0.053289600,0.000540800,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_1_INTEST,die_1,stack_0,INTEST,0,CONFIG,0.062261760,0.062263040,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_1_INTEST,die_1,stack_0,INTEST,1,SHIFT_IN,0.062263040,0.063056640,0.000793600,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_1_INTEST,die_1,stack_0,INTEST,2,SHIFT_OUT,0.063056640,0.063850240,0.000793600,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_2_INTEST,die_2,stack_1,INTEST,0,CONFIG,0.052807680,0.052808960,0.000001280,True,0,False,0.800000000
p22810_5_5d_multi_tower,greedy,die_2_INTEST,die_2,stack_1,INTEST,1,SHIFT_IN,0.052808960,0.054365920,0.001556960,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_2_INTEST,die_2,stack_1,INTEST,2,SHIFT_OUT,0.054365920,0.055922880,0.001556960,False,1,False,0.500000000
p22810_5_5d_multi_tower,greedy,die_4_scan,die_4,stack_2,scan,0,CONFIG,0.000384160,0.000385440,0.000001280,True,0,False,0.800000000
