case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
m21_pressure_small_d695_3d_stack,d695_m1_die1,core,die1,B_d695_m1_die1_local_bist,B,0,CONFIG_BIST,0.0,5.12e-06,5.12e-06,True,0,,,,,0.08,thermal_die1,
m21_pressure_small_d695_3d_stack,d695_m10_die2,memory,die2,B_d695_m10_die2_local_bist,B,0,CONFIG_BIST,5.12e-06,1.152e-05,6.4e-06,True,0,,,,,0.08,thermal_die2,
m21_pressure_small_d695_3d_stack,d695_m1_die1,core,die1,B_d695_m1_die1_local_bist,B,1,LOCAL_BIST_RUN,5.12e-06,0.00600512,0.006,False,0,,,,test_session_die1,4.16,thermal_die1,external TAP resources released; local test session remains occupied
m21_pressure_small_d695_3d_stack,d695_m9_die2,core,die2,B_d695_m9_die2_local_bist,B,0,CONFIG_BIST,1.152e-05,1.7919999999999998e-05,6.4e-06,True,0,,,,,0.08,thermal_die2,
m21_pressure_small_d695_3d_stack,d695_m7_die3,core,die3,B_d695_m7_die3_local_bist,B,0,CONFIG_BIST,1.7919999999999998e-05,2.56e-05,7.68e-06,True,0,,,,,0.08,thermal_die3,
m21_pressure_small_d695_3d_stack,d695_m6_die1,core,die1,B_d695_m6_die1_local_bist,B,0,CONFIG_BIST,2.56e-05,3.072e-05,5.12e-06,True,0,,,,,0.08,thermal_die1,
m21_pressure_small_d695_3d_stack,d695_m8_die3,core,die3,B_d695_m8_die3_local_bist,B,0,CONFIG_BIST,3.072e-05,3.84e-05,7.68e-06,True,0,,,,,0.08,thermal_die3,
m21_pressure_small_d695_3d_stack,d695_m4_die1,memory,die1,B_d695_m4_die1_local_bist,B,0,CONFIG_BIST,3.84e-05,4.352e-05,5.12e-06,True,0,,,,,0.08,thermal_die1,
m21_pressure_small_d695_3d_stack,d695_m2_die0,core,die0,B_d695_m2_die0_local_bist,B,0,CONFIG_BIST,4.352e-05,4.7359999999999994e-05,3.84e-06,True,0,,,,,0.08,thermal_die0,
m21_pressure_small_d695_3d_stack,d695_m3_die0,memory,die0,B_d695_m3_die0_local_bist,B,0,CONFIG_BIST,4.7359999999999994e-05,5.119999999999999e-05,3.84e-06,True,0,,,,,0.08,thermal_die0,
